Scan REF	BioRep1_Day1_L9_Cy3_1;BioRep1_Day1_L9_Cy3_2;BioRep1_Day1_L9_Cy5_1;BioRep2_Day1_L9_Cy3_1;BioRep2_Day1_L9_Cy3_2;BioRep2_Day1_L9_Cy5_1	BioRep1_Day1_L9_Cy3_1;BioRep1_Day1_L9_Cy3_2;BioRep1_Day1_L9_Cy5_1;BioRep2_Day1_L9_Cy3_1;BioRep2_Day1_L9_Cy3_2;BioRep2_Day1_L9_Cy5_1	BioRep1_Day1_L9_Cy3_1;BioRep1_Day1_L9_Cy3_2;BioRep1_Day1_L9_Cy5_1;BioRep2_Day1_L9_Cy3_1;BioRep2_Day1_L9_Cy3_2;BioRep2_Day1_L9_Cy5_1	BioRep1_Day1_D9_Cy3_1;BioRep1_Day1_D9_Cy3_2;BioRep1_Day1_D9_Cy5_1;BioRep2_Day1_D9_Cy3_1;BioRep2_Day1_D9_Cy3_2;BioRep2_Day1_D9_Cy5_1	BioRep1_Day1_D9_Cy3_1;BioRep1_Day1_D9_Cy3_2;BioRep1_Day1_D9_Cy5_1;BioRep2_Day1_D9_Cy3_1;BioRep2_Day1_D9_Cy3_2;BioRep2_Day1_D9_Cy5_1	BioRep1_Day1_D9_Cy3_1;BioRep1_Day1_D9_Cy3_2;BioRep1_Day1_D9_Cy5_1;BioRep2_Day1_D9_Cy3_1;BioRep2_Day1_D9_Cy3_2;BioRep2_Day1_D9_Cy5_1	BioRep1_Day1_D1_Cy3_1;BioRep1_Day1_D1_Cy3_2;BioRep1_Day1_D1_Cy5_1;BioRep1_Day1_D1_Cy5_2;BioRep2_Day1_D1_Cy3_1;BioRep2_Day1_D1_Cy3_2;BioRep2_Day1_D1_Cy5_1;BioRep2_Day1_D1_Cy5_2	BioRep1_Day1_D1_Cy3_1;BioRep1_Day1_D1_Cy3_2;BioRep1_Day1_D1_Cy5_1;BioRep1_Day1_D1_Cy5_2;BioRep2_Day1_D1_Cy3_1;BioRep2_Day1_D1_Cy3_2;BioRep2_Day1_D1_Cy5_1;BioRep2_Day1_D1_Cy5_2	BioRep1_Day1_D1_Cy3_1;BioRep1_Day1_D1_Cy3_2;BioRep1_Day1_D1_Cy5_1;BioRep1_Day1_D1_Cy5_2;BioRep2_Day1_D1_Cy3_1;BioRep2_Day1_D1_Cy3_2;BioRep2_Day1_D1_Cy5_1;BioRep2_Day1_D1_Cy5_2	BioRep2_Day1_D5_Cy3_1;BioRep2_Day1_D5_Cy3_2;BioRep2_Day1_D5_Cy3_3;BioRep2_Day1_D5_Cy3_4;BioRep2_Day1_D5_Cy5_1	BioRep2_Day1_D5_Cy3_1;BioRep2_Day1_D5_Cy3_2;BioRep2_Day1_D5_Cy3_3;BioRep2_Day1_D5_Cy3_4;BioRep2_Day1_D5_Cy5_1	BioRep2_Day1_D5_Cy3_1;BioRep2_Day1_D5_Cy3_2;BioRep2_Day1_D5_Cy3_3;BioRep2_Day1_D5_Cy3_4;BioRep2_Day1_D5_Cy5_1	BioRep1_Day1_L1_Cy3_1;BioRep1_Day1_L1_Cy3_2;BioRep1_Day1_L1_Cy5_1;BioRep2_Day1_L1_Cy3_1;BioRep2_Day1_L1_Cy3_2;BioRep2_Day1_L1_Cy5_1	BioRep1_Day1_L1_Cy3_1;BioRep1_Day1_L1_Cy3_2;BioRep1_Day1_L1_Cy5_1;BioRep2_Day1_L1_Cy3_1;BioRep2_Day1_L1_Cy3_2;BioRep2_Day1_L1_Cy5_1	BioRep1_Day1_L1_Cy3_1;BioRep1_Day1_L1_Cy3_2;BioRep1_Day1_L1_Cy5_1;BioRep2_Day1_L1_Cy3_1;BioRep2_Day1_L1_Cy3_2;BioRep2_Day1_L1_Cy5_1	BioRep1_Day1_L5_Cy3_1;BioRep1_Day1_L5_Cy3_2;BioRep1_Day1_L5_Cy5_1;BioRep2_Day1_L5_Cy3_1;BioRep2_Day1_L5_Cy3_2;BioRep2_Day1_L5_Cy5_1	BioRep1_Day1_L5_Cy3_1;BioRep1_Day1_L5_Cy3_2;BioRep1_Day1_L5_Cy5_1;BioRep2_Day1_L5_Cy3_1;BioRep2_Day1_L5_Cy3_2;BioRep2_Day1_L5_Cy5_1	BioRep1_Day1_L5_Cy3_1;BioRep1_Day1_L5_Cy3_2;BioRep1_Day1_L5_Cy5_1;BioRep2_Day1_L5_Cy3_1;BioRep2_Day1_L5_Cy3_2;BioRep2_Day1_L5_Cy5_1	BioRep1_Day2_D1_Cy3_1;BioRep1_Day2_D1_Cy3_2;BioRep1_Day2_D1_Cy5_1;BioRep2_Day2_D1_Cy3_1;BioRep2_Day2_D1_Cy3_2;BioRep2_Day2_D1_Cy5_1	BioRep1_Day2_D1_Cy3_1;BioRep1_Day2_D1_Cy3_2;BioRep1_Day2_D1_Cy5_1;BioRep2_Day2_D1_Cy3_1;BioRep2_Day2_D1_Cy3_2;BioRep2_Day2_D1_Cy5_1	BioRep1_Day2_D1_Cy3_1;BioRep1_Day2_D1_Cy3_2;BioRep1_Day2_D1_Cy5_1;BioRep2_Day2_D1_Cy3_1;BioRep2_Day2_D1_Cy3_2;BioRep2_Day2_D1_Cy5_1	BioRep1_Day2_D5_Cy3_1;BioRep1_Day2_D5_Cy3_2;BioRep1_Day2_D5_Cy5_1;BioRep2_Day2_D5_Cy3_1;BioRep2_Day2_D5_Cy3_2;BioRep2_Day2_D5_Cy5_1	BioRep1_Day2_D5_Cy3_1;BioRep1_Day2_D5_Cy3_2;BioRep1_Day2_D5_Cy5_1;BioRep2_Day2_D5_Cy3_1;BioRep2_Day2_D5_Cy3_2;BioRep2_Day2_D5_Cy5_1	BioRep1_Day2_D5_Cy3_1;BioRep1_Day2_D5_Cy3_2;BioRep1_Day2_D5_Cy5_1;BioRep2_Day2_D5_Cy3_1;BioRep2_Day2_D5_Cy3_2;BioRep2_Day2_D5_Cy5_1	BioRep1_Day2_D9_Cy3_1;BioRep1_Day2_D9_Cy3_2;BioRep1_Day2_D9_Cy5_1;BioRep2_Day2_D9_Cy3_1;BioRep2_Day2_D9_Cy3_2;BioRep2_Day2_D9_Cy5_1	BioRep1_Day2_D9_Cy3_1;BioRep1_Day2_D9_Cy3_2;BioRep1_Day2_D9_Cy5_1;BioRep2_Day2_D9_Cy3_1;BioRep2_Day2_D9_Cy3_2;BioRep2_Day2_D9_Cy5_1	BioRep1_Day2_D9_Cy3_1;BioRep1_Day2_D9_Cy3_2;BioRep1_Day2_D9_Cy5_1;BioRep2_Day2_D9_Cy3_1;BioRep2_Day2_D9_Cy3_2;BioRep2_Day2_D9_Cy5_1	BioRep1_Day2_L1_Cy3_1;BioRep1_Day2_L1_Cy3_2;BioRep1_Day2_L1_Cy5_1;BioRep2_Day2_L1_Cy3_1;BioRep2_Day2_L1_Cy3_2;BioRep2_Day2_L1_Cy5_1	BioRep1_Day2_L1_Cy3_1;BioRep1_Day2_L1_Cy3_2;BioRep1_Day2_L1_Cy5_1;BioRep2_Day2_L1_Cy3_1;BioRep2_Day2_L1_Cy3_2;BioRep2_Day2_L1_Cy5_1	BioRep1_Day2_L1_Cy3_1;BioRep1_Day2_L1_Cy3_2;BioRep1_Day2_L1_Cy5_1;BioRep2_Day2_L1_Cy3_1;BioRep2_Day2_L1_Cy3_2;BioRep2_Day2_L1_Cy5_1	BioRep1_Day2_L5_Cy3_1;BioRep1_Day2_L5_Cy3_2;BioRep1_Day2_L5_Cy5_1;BioRep2_Day2_L5_Cy3_1;BioRep2_Day2_L5_Cy3_2;BioRep2_Day2_L5_Cy5_1	BioRep1_Day2_L5_Cy3_1;BioRep1_Day2_L5_Cy3_2;BioRep1_Day2_L5_Cy5_1;BioRep2_Day2_L5_Cy3_1;BioRep2_Day2_L5_Cy3_2;BioRep2_Day2_L5_Cy5_1	BioRep1_Day2_L5_Cy3_1;BioRep1_Day2_L5_Cy3_2;BioRep1_Day2_L5_Cy5_1;BioRep2_Day2_L5_Cy3_1;BioRep2_Day2_L5_Cy3_2;BioRep2_Day2_L5_Cy5_1	BioRep1_Day2_L9_Cy3_1;BioRep1_Day2_L9_Cy3_2;BioRep1_Day2_L9_Cy5_1;BioRep2_Day2_L9_Cy3_1;BioRep2_Day2_L9_Cy3_2;BioRep2_Day2_L9_Cy5_1	BioRep1_Day2_L9_Cy3_1;BioRep1_Day2_L9_Cy3_2;BioRep1_Day2_L9_Cy5_1;BioRep2_Day2_L9_Cy3_1;BioRep2_Day2_L9_Cy3_2;BioRep2_Day2_L9_Cy5_1	BioRep1_Day2_L9_Cy3_1;BioRep1_Day2_L9_Cy3_2;BioRep1_Day2_L9_Cy5_1;BioRep2_Day2_L9_Cy3_1;BioRep2_Day2_L9_Cy3_2;BioRep2_Day2_L9_Cy5_1
Reporter REF	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE	Software Unknown:Replicates Mean Normalized Log2 Ratio	Software Unknown:Replicates SD	Software Unknown:Replicates SE
Contig0.10_10_14370_15446	-0.16	0.05	0.02	-0.13	0.04	0.01	-0.74	0.07	0.02	-0.62	0.04	0.01	0.35	0.04	0.01	0.26	0.05	0.01	-0.87	0.12	0.03	-0.43	0.04	0.01	-0.12	0.12	0.03	0.38	0.04	0.01	0.37	0.04	0.01	-0.04	0.09	0.03
Contig0.10_11_16336_15422	0.23	0.05	0.01	-0.31	0.09	0.02	-0.33	0.07	0.02	-0.64	0.12	0.04	0.16	0.04	0.01	0.41	0.56	0.16	-0.42	0.19	0.06	-0.45	0.14	0.04	-0.3	0.09	0.02	0.06	0.05	0.01	0.34	0.05	0.01	0.23	0.1	0.03
Contig0.10_12_16503_17552	-0.04	0.12	0.03	-0.41	0.08	0.02	-0.46	0.06	0.01	-0.41	0.09	0.03	0.66	0.09	0.03	-0.2	0.04	0.01	-0.46	0.07	0.02	-0.28	0.12	0.04	-0.46	0.09	0.03	0.48	0.1	0.03	-0.01	0.04	0.01	0.04	0.08	0.02
Contig0.10_13_17679_17981	-0.08	0.16	0.04	0.13	0.09	0.03	-0.23	0.15	0.04	0.27	0.13	0.05	0.08	0.11	0.03	-0.12	0.14	0.04	-0.23	0.17	0.05	0.11	0.11	0.03	0.12	0.09	0.02	0.18	0.07	0.02	-0.05	0.07	0.02	-0.08	0.1	0.03
Contig0.10_14_18000_18698	-0.15	0.14	0.04	-0.02	0.12	0.03	-0.18	0.16	0.04	0.18	0.09	0.03	-0.09	0.11	0.03	-0.22	0.11	0.03	-0.21	0.14	0.04	0.09	0.15	0.04	-0.04	0.13	0.04	-0.08	0.12	0.03	-0.13	0.11	0.03	-0.16	0.13	0.04
Contig0.10_15_18756_18854	-0.18	0.13	0.04	0.16	0.15	0.04	null	0.14	0.04	0.23	0.14	0.05	-0.1	0.14	0.04	-0.22	0.08	0.02	-0.06	0.15	0.04	0.14	0.1	0.03	0.11	0.08	0.02	-0.05	0.06	0.02	-0.17	0.08	0.02	-0.14	0.08	0.02
Contig0.10_16_19246_19094	-0.1	0.04	0.01	0.25	0.14	0.04	0.23	0.09	0.02	0.58	0.05	0.02	-0.4	0.09	0.03	-0.1	0.06	0.02	0.18	0.03	0.01	0.32	0.16	0.05	0.01	0.29	0.08	-0.38	0.17	0.05	-0.19	0.11	0.03	-0.1	0.16	0.05
Contig0.10_17_19930_19358	0.42	0.12	0.04	-0.18	0.12	0.04	-0.16	0.14	0.04	-0.37	0.07	0.03	-0.06	0.14	0.04	0.47	0.13	0.04	-0.09	0.14	0.04	-0.08	0.15	0.04	-0.09	0.11	0.03	-0.03	0.13	0.04	0.39	0.14	0.04	0.42	0.1	0.03
Contig0.10_18_20712_19960	0.43	0.13	0.04	-0.32	0.15	0.04	-0.2	0.15	0.04	-0.33	0.16	0.06	-0.02	0.14	0.04	0.41	0.22	0.06	-0.09	0.21	0.06	-0.15	0.24	0.07	-0.01	0.4	0.11	0.02	0.14	0.04	0.56	0.21	0.06	0.53	0.28	0.08
Contig0.10_19_20881_23430	-0.44	0.1	0.03	-0.51	0.07	0.02	-0.3	0.06	0.02	-0.34	0.07	0.03	0.81	0.21	0.06	0.32	0.14	0.04	-0.35	0.1	0.03	-0.21	0.14	0.04	-0.33	0.22	0.06	0.49	0.32	0.09	-0.53	0.29	0.08	-0.5	0.19	0.06
Contig0.10_1_97_759	-0.08	0.1	0.03	0.08	0.11	0.03	0.13	0.14	0.03	-0.02	0.11	0.04	0.45	0.09	0.03	0.25	0.17	0.05	0.1	0.14	0.04	0.06	0.12	0.03	-0.03	0.1	0.03	0.25	0.08	0.02	-0.01	0.08	0.02	-0.07	0.09	0.03
Contig0.10_20_23501_25597	-0.2	0.12	0.03	-0.3	0.07	0.02	-0.06	0.1	0.03	-0.17	0.1	0.03	0.78	0.05	0.01	0.24	0.12	0.04	-0.12	0.09	0.02	-0.15	0.1	0.03	-0.17	0.13	0.04	0.54	0.04	0.01	-0.13	0.04	0.01	-0.15	0.16	0.05
Contig0.10_21_25654_27474	0.07	0.14	0.04	0.23	0.14	0.04	0.23	0.15	0.04	0.15	0.04	0.01	0.14	0.12	0.03	0.18	0.17	0.05	0.22	0.17	0.05	0.22	0.11	0.03	0.21	0.14	0.04	0.13	0.09	0.03	0.09	0.13	0.04	0.07	0.15	0.04
Contig0.10_22_28171_27554	-0.64	0.1	0.03	1.08	0.09	0.03	-0.27	0.11	0.03	-0.08	0.08	0.03	-0.5	0.17	0.05	-0.49	0.09	0.02	-0.51	0.15	0.04	-0.02	0.25	0.07	1.36	0.21	0.06	-0.47	0.13	0.04	-0.48	0.08	0.02	-0.63	0.12	0.03
Contig0.10_23_28632_29429	-0.28	0.11	0.03	0.53	0.11	0.03	0.05	0.08	0.02	0.44	0.04	0.01	0.22	0.09	0.03	-0.22	0.13	0.04	-0.06	0.12	0.03	0.43	0.15	0.04	0.45	0.11	0.03	0.15	0.18	0.05	null	0.2	0.06	-0.19	0.24	0.07
Contig0.10_24_29520_29900	null	0.13	0.04	0.35	0.09	0.03	0.11	0.16	0.04	0.2	0.1	0.03	0.06	0.09	0.03	0.02	0.16	0.05	0.05	0.11	0.03	0.2	0.13	0.04	0.22	0.15	0.04	-0.06	0.16	0.05	0.01	0.16	0.05	-0.06	0.15	0.04
Contig0.10_25_30034_30492	0.1	0.11	0.03	0.14	0.07	0.02	0.11	0.1	0.03	0.07	0.06	0.02	0.08	0.11	0.03	0.03	0.08	0.02	0.14	0.12	0.03	0.11	0.1	0.03	0.13	0.12	0.03	0.06	0.1	0.03	0.05	0.1	0.03	0.07	0.11	0.03
Contig0.10_26_30606_32255	0.06	0.11	0.03	0.17	0.14	0.04	-0.01	0.14	0.04	0.04	0.09	0.03	0.25	0.09	0.03	0.13	0.12	0.03	null	0.14	0.04	0.15	0.08	0.02	0.14	0.09	0.03	0.16	0.07	0.02	0.12	0.09	0.03	0.06	0.1	0.03
Contig0.10_27_32293_33747	0.05	0.09	0.03	0.21	0.13	0.04	0.3	0.23	0.06	0.25	0.22	0.08	0.06	0.08	0.02	0.06	0.08	0.02	0.2	0.13	0.04	0.14	0.08	0.02	0.12	0.09	0.03	0.01	0.1	0.03	0.04	0.09	0.02	0.03	0.05	0.01
Contig0.10_28_33752_34723	-0.02	0.06	0.02	-0.03	0.09	0.03	-0.08	0.09	0.02	-0.03	0.06	0.02	0.05	0.07	0.02	-0.01	0.07	0.02	-0.06	0.08	0.02	-0.01	0.11	0.03	0.04	0.13	0.04	0.02	0.13	0.04	-0.01	0.13	0.04	0.02	0.1	0.03
Contig0.10_29_34886_35347	-0.11	0.14	0.04	0.28	0.06	0.02	-0.09	0.1	0.02	0.55	0.03	0.01	0.19	0.09	0.03	-0.14	0.14	0.04	-0.03	0.11	0.03	0.58	0.06	0.02	0.32	0.13	0.04	0.14	0.1	0.03	-0.26	0.09	0.03	-0.18	0.18	0.05
Contig0.10_2_893_1255	-0.92	0.19	0.05	-0.74	0.13	0.04	-0.64	0.14	0.03	-1.1	0.07	0.03	1.45	0.09	0.03	0.48	0.16	0.05	-0.87	0.15	0.04	-0.76	0.11	0.03	-0.8	0.13	0.04	1.01	0.09	0.03	-0.48	0.08	0.02	-0.84	0.19	0.05
