Contig,ORF,Day1_D1,Day1_D5,Day1_D9,Day1_L1,Day1_L5,Day1_L9,Day2_D1,Day2_D5,Day2_D9,Day2_L1,Day2_L5,Day2_L9
Contig0.10_10_14370_15446,cce_4187,-0.74,-0.62,-0.13,0.35,0.26,-0.16,-0.87,-0.43,-0.12,0.38,0.37,-0.04
Contig0.10_11_16336_15422,cce_4186,-0.33,-0.64,-0.31,0.16,0.41,0.23,-0.42,-0.45,-0.3,0.06,0.34,0.23
Contig0.10_12_16503_17552,cce_4185,-0.46,-0.41,-0.41,0.66,-0.2,-0.04,-0.46,-0.28,-0.46,0.48,-0.01,0.04
Contig0.10_13_17679_17981,cce_4184,-0.23,0.27,0.13,0.08,-0.12,-0.08,-0.23,0.11,0.12,0.18,-0.05,-0.08
Contig0.10_14_18000_18698,cce_4183,-0.18,0.18,-0.02,-0.09,-0.22,-0.15,-0.21,0.09,-0.04,-0.08,-0.13,-0.16
Contig0.10_15_18756_18854,cce_4182,,0.23,0.16,-0.1,-0.22,-0.18,-0.06,0.14,0.11,-0.05,-0.17,-0.14
Contig0.10_16_19246_19094,cce_4180,0.23,0.58,0.25,-0.4,-0.1,-0.1,0.18,0.32,0.01,-0.38,-0.19,-0.1
Contig0.10_17_19930_19358,cce_4179,-0.16,-0.37,-0.18,-0.06,0.47,0.42,-0.09,-0.08,-0.09,-0.03,0.39,0.42
Contig0.10_18_20712_19960,cce_4178,-0.2,-0.33,-0.32,-0.02,0.41,0.43,-0.09,-0.15,-0.01,0.02,0.56,0.53
Contig0.10_19_20881_23430,cce_4177,-0.3,-0.34,-0.51,0.81,0.32,-0.44,-0.35,-0.21,-0.33,0.49,-0.53,-0.5
Contig0.10_1_97_759,cce_4196,0.13,-0.02,0.08,0.45,0.25,-0.08,0.1,0.06,-0.03,0.25,-0.01,-0.07
Contig0.10_20_23501_25597,cce_4176,-0.06,-0.17,-0.3,0.78,0.24,-0.2,-0.12,-0.15,-0.17,0.54,-0.13,-0.15
Contig0.10_21_25654_27474,cce_4175,0.23,0.15,0.23,0.14,0.18,0.07,0.22,0.22,0.21,0.13,0.09,0.07
Contig0.10_22_28171_27554,cce_4174,-0.27,-0.08,1.08,-0.5,-0.49,-0.64,-0.51,-0.02,1.36,-0.47,-0.48,-0.63
Contig0.10_23_28632_29429,cce_4173,0.05,0.44,0.53,0.22,-0.22,-0.28,-0.06,0.43,0.45,0.15,,-0.19
Contig0.10_24_29520_29900,cce_4172,0.11,0.2,0.35,0.06,0.02,,0.05,0.2,0.22,-0.06,0.01,-0.06
Contig0.10_25_30034_30492,cce_4171,0.11,0.07,0.14,0.08,0.03,0.1,0.14,0.11,0.13,0.06,0.05,0.07
Contig0.10_26_30606_32255,cce_4170,-0.01,0.04,0.17,0.25,0.13,0.06,,0.15,0.14,0.16,0.12,0.06
Contig0.10_27_32293_33747,cce_4169,0.3,0.25,0.21,0.06,0.06,0.05,0.2,0.14,0.12,0.01,0.04,0.03
Contig0.10_28_33752_34723,cce_4168,-0.08,-0.03,-0.03,0.05,-0.01,-0.02,-0.06,-0.01,0.04,0.02,-0.01,0.02
Contig0.10_29_34886_35347,cce_4166,-0.09,0.55,0.28,0.19,-0.14,-0.11,-0.03,0.58,0.32,0.14,-0.26,-0.18
Contig0.10_2_893_1255,cce_4195,-0.64,-1.1,-0.74,1.45,0.48,-0.92,-0.87,-0.76,-0.8,1.01,-0.48,-0.84
Contig0.10_30_35430_36251,cce_4165,-0.03,0.09,0.1,0.03,0.22,0.19,0.02,0.22,0.2,-0.08,0.16,0.21
Contig0.10_31_36368_37006,cce_4164,0.06,0.11,0.14,0.07,0.06,0.11,0.09,0.2,0.22,0.07,0.09,0.13
Contig0.10_32_37073_37717,cce_4163,0.04,-0.04,0.17,0.11,0.21,0.08,-0.06,0.05,0.21,0.11,0.16,0.14
Contig0.10_33_37784_38170,cce_4162,0.23,0.09,0.17,0.04,-0.07,0.03,0.16,0.16,0.13,-0.03,-0.07,-0.04
Contig0.10_34_38309_38695,cce_4161,,-0.01,0.16,0.35,-0.03,0.02,-0.09,0.19,0.25,0.33,0.1,0.08
Contig0.10_35_38700_38990,cce_4160,0.05,0.18,0.25,0.29,-0.22,-0.1,-0.07,0.27,0.27,0.26,-0.03,-0.07
Contig0.10_36_40265_39024,cce_4159,-0.04,0.18,0.04,-0.09,-0.12,-0.05,0.02,-0.05,-0.01,-0.11,-0.06,-0.06
Contig0.10_38_40989_40561,cce_4157,-0.22,-0.2,-0.22,0.01,0.11,-0.08,-0.25,-0.18,-0.18,0.02,0.12,0.03
Contig0.10_39_42884_40989,cce_4156,,-0.03,-0.06,-0.07,0.12,0.05,0.01,-0.04,-0.03,-0.03,0.21,0.12
Contig0.10_3_1293_1841,cce_4194,-0.05,-0.15,-0.36,1.02,0.33,-0.52,-0.15,-0.15,-0.16,0.84,-0.22,-0.33
Contig0.10_40_43261_43103,cce_4155,1.07,-0.17,-0.28,-0.76,-0.84,0.49,1.1,-0.19,-0.18,-0.58,-0.54,0.19
Contig0.10_41_43685_43371,cce_4154,1.33,-0.73,-0.8,-1.06,-1.11,0.91,1.49,-0.57,-0.83,-0.74,-0.77,0.55
Contig0.10_42_43864_43688,cce_4153,1.53,-1.16,-1.93,-2.27,-2.21,1.21,1.7,-1.04,-1.72,-1.78,-1.68,0.74
Contig0.10_43_44370_46166,cce_4152,0.91,0.19,-0.21,-0.24,-0.48,0.36,0.82,0.24,-0.14,-0.11,-0.28,0.24
Contig0.10_44_46316_47512,cce_4151,0.21,0.13,0.1,,0.03,0.1,0.29,0.14,0.14,0.02,0.02,0.08
Contig0.10_45_47502_48197,cce_4150,1.48,0.24,-0.6,-0.79,-0.68,0.36,1.27,0.14,-0.45,-0.46,-0.51,0.3
Contig0.10_46_48184_48999,cce_4149,0.46,0.08,-0.04,-0.08,-0.11,0.13,0.45,0.2,-0.03,-0.05,-0.09,0.06
Contig0.10_48_49667_51889,cce_4147,-0.23,-0.21,-0.09,0.3,0.3,0.1,-0.09,-0.06,-0.02,0.21,0.23,0.1
Contig0.10_49_52870_52034,cce_4146,,0.46,0.2,0.1,-0.17,-0.24,,0.36,0.14,0.07,-0.09,-0.18
Contig0.10_4_1944_1846,Contig0.10_4_1944_1846,-0.35,0.01,-0.37,-0.43,-0.51,-0.43,-0.45,-0.37,-0.43,-0.4,-0.45,-0.39
Contig0.10_50_52976_52878,cce_4145,-0.16,0.1,-0.13,-0.2,-0.22,-0.22,-0.15,-0.1,-0.18,-0.19,-0.27,-0.22
Contig0.10_51_52975_53187,cce_4144,0.07,-0.06,0.04,-0.07,0.17,0.08,0.02,0.16,0.19,0.01,-0.04,-0.08
Contig0.10_52_53321_53842,cce_4143,0.11,0.1,-0.08,0.68,0.21,-0.52,-0.1,0.11,-0.07,0.44,-0.53,-0.67
Contig0.10_53_53972_54586,cce_4142,-2.91,-2.41,-0.75,1.11,0.17,-1.2,-3.03,-2.27,-0.88,1.02,0.36,-0.88
Contig0.10_5_2016_5444,cce_4193,0.24,0.12,0.19,0.22,0.23,0.15,0.29,0.18,0.13,0.15,0.11,0.08
Contig0.10_6_5533_8922,cce_4191,0.04,-0.05,0.07,0.24,0.23,0.08,0.08,0.06,0.06,0.22,0.14,0.05
Contig0.10_7_9019_12390,cce_4190,0.14,0.06,0.13,0.07,0.14,0.12,0.13,0.08,0.16,0.11,0.14,0.1
Contig0.10_8_12461_12985,cce_4189,-0.05,0.06,-0.06,-0.07,-0.09,-0.09,-0.06,,-0.07,-0.09,-0.14,-0.12
Contig0.10_9_13077_14318,cce_4188,-0.23,-0.31,-0.1,-0.21,0.36,0.39,-0.25,-0.16,0.02,-0.12,0.31,0.43
