Contig,ORF,Day1_L2,Day1_L6,Day1_L10,Day1_D2,Day1_D6,Day1_D10,Day2_LL2,Day2_LL6,Day2_LL10,Day2_LD2,Day2_LD6,Day2_LD10
Contig0.10_10_14370_15446,cce_4187,0.1199844,0.574008,-0.49726800000000004,-0.9467839,-0.9126878,-0.5550527,0.3897113,0.7557421,-0.5524321999999999,-0.6207103,0.16113570000000002,0.6189045
Contig0.10_11_16336_15422,cce_4186,-0.006947658000000001,0.3773258,0.28143559999999995,0.09678744,0.1014317,-0.168668,0.03077907,0.289256,0.2323988,-0.2852706,0.06495253,0.001840275
Contig0.10_12_16503_17552,cce_4185,0.3341712,-0.3660122,0.1616793,-0.7437943,-0.8410287000000001,-0.7626094,0.36820970000000003,-0.2705505,0.12134600000000001,0.25290799999999997,0.1817692,0.21285279999999998
Contig0.10_13_17679_17981,cce_4184,0.41894840000000005,-0.1469162,-0.6059302,-0.09944178,-0.11535919999999998,0.13086969999999998,0.194944,-0.08236623,-0.29050679999999995,0.05227071,0.09424309,0.1117869
Contig0.10_14_18000_18698,cce_4183,0.3248495,0.03686576,-0.0012162689999999999,-0.1449872,0.02988577,0.11122629999999999,0.1622554,-0.06287337,0.06433832,0.09079022,0.173198,0.28915440000000003
Contig0.10_15_18756_18854,cce_4182,0.3260573,-0.01059753,0.15580839999999999,0.8554514999999999,0.2778432,0.48078950000000004,0.4620995,-0.03553068,0.27074509999999996,0.2799818,0.3970639,0.5004835999999999
Contig0.10_16_19246_19094,cce_4180,0.2549201,0.06342609,0.2020424,0.01365916,-0.5410005,-0.3550339,-0.31972399999999995,-0.03542747,-0.2570327,-0.4320012,-0.06008539,-0.2306719
Contig0.10_17_19930_19358,cce_4179,-0.01460795,0.11279990000000001,0.08972283,-0.3549585,-0.07840810000000001,-0.2385856,-0.04042564,0.1132645,0.06283587,-0.1415174,0.20482910000000001,0.2076776
Contig0.10_18_20712_19960,cce_4178,-0.124293,0.1662616,0.1158704,-0.1784412,-0.06525222,-0.1389672,-0.136657,0.1367701,-0.05721511,-0.07505794,0.1373562,0.2290857
Contig0.10_19_20881_23430,cce_4177,0.6561556,-0.46101980000000004,-0.2376507,-0.4898345,-0.4279696,-0.23622729999999997,0.4218152,-0.344423,-0.4376032999999999,0.36227459999999995,-0.41822529999999997,-0.05579607
